text	label
She later served as Special Envoy for Strategic Stability and Missile Defense at the State Department until August 31, 2012.They often hunt high up in bushes, or on vertical walls.Through their efforts, there is now a small part of how Dostoevsky first imagined Crime and Punishment to be written.He is considered to be one of the greatest Senators in United States history.It is 90 meters above sea level.Karate lessons are seen, and Thomas, Daniel and Miriam talk about their favourite activities.It is in Chuansha new town, pudong district.	1
"However, it can be transferred and it can change from one form of energy to another form of energy.He is known for his 1950s rock and roll style.In a simple pipeline, completing an instruction may require 5 stages.The jail box is where the pieces are placed at the beginning of the match and is where they go whenever an opponent ""captures"" them.The inside of a MRT train.In 1898, he sponsored the Curtis Act of 1898, which took power away from tribal leaders.On 6 June 1857, at the time of the rebellion by forces of the East India Company at Cawnpore, the British contingent had taken refuge at an entrenchment in the northern part of the town."	1
The disease killed around a third of Europe's population, with variation between areas.The Broadmeadows site has many historical buildings including the original homestead “Kerrsland” that was constructed in 1880.These people formed organizations such as the Mladorossi, the Evraziitsi, and the Smenovekhovtsi.The Company of the Creative: A Christian Reader's Guide to Great Literature and Its Themes by David L. Larsen, Kregel Publications, 2000, pages 386–387.The number of Latin Americans and Asians is more than ever.So Metternich convinced the czar that if he attacked now, the Ottoman Empire would fall apart before the czar was ready to take it for himself, and that Great Britain and France would get most of it.At one point, GLaDOS tells Chell a chamber is broken and she must go through a chamber full of sentry guns, called Turrets, instead.	1
This audio file was created from an article revision dated 2010-12-02, and does not play the most recent changes to the article.From the end of World War II until 1953, according to various data, between 250,000 and 350,000 people emigrated from these regions.The Granth teaches us how we should live, and promotes a modern ideology.In 2001 there were 1717 people living in St Bees.It was published in English in 1846 by Chapman and Hall.Villa gave the role of Petra Herrera in the revolution to an unknown woman.Joseph N'Singa Udjuu Ongwabeki Untubwe (29 September 1934 – 24 February 2021 citation ) was a Congolese politician.	1
"Norbert Röttgen (born 2 July 1965) is a German lawyer and politician.He didn't study, and his scholarship was taken away.He competed in the Olympic Games in 2012, European Championships in 2013, the World Cup in 2011, and the World League.The chorus stops are the foundation stops, the basic ones which are good for building up the big, solid sound.The main conductor who is in charge of an orchestra is often given the title ""musical director"".After three days of thirst, on the last day of the siege, Balbhadra refused to surrender.Justin and the Knights of Valour is a 2013 Spanish computer animated comic epic movie produced by Kandor Graphics for Entertainment One Films."	1
The stranger was left in his grave and Daniel was buried at the foot of his wife's grave, but 16 years later, a gravestone was mistakenly placed over the stranger's grave.Zoanthids can be distinguished from other colonial anthozoans and soft corals.It is said to be the oldest city in the world (according to the ancient historian Philo of Byblos).He served in Foreign Service of the United States, from 1956 to 1989.He again started to work as a lawyer in England.Being a female is a risk factor, and so is having family members who had migraines.Norwegian is one of the largest airlines in the world.	1
Carlisle was shot dead, and his neighbour, Mr.O'Birne, was badly wounded.The police stood ready, guns aimed at the front door, waiting for the men inside to attempt their escape.Reprinted by Octagon Books, 1965.He is the leader and a founding member of the super team the Champions.Massive solid planets can also exist.These parts manufacturers were not used to the extra work though, and this delayed the 787 even more.The breeding program ended up with 76 kittens in the first three years, 42 with folded ears.	1
Fanning then began the transition to more adult roles with Hounddog (2007) and The Secret Life of Bees (2008).They also had to cut off one of the hooves so that there was proof of the horse's death so that a new one could be purchased.She allegedly posed for the painting.He ran for president in 1992 and in 1996.Brian C. Melton, Robert E. Lee: A Biography (Santa Barbara, CA: Greenwood, 2012), p. 34 He proved not to be a very good slave master.The name was given by John Curling.In 1922 he was awarded the Nobel Peace Prize for his work on behalf of the displaced victims of the First World War and related conflicts.	1
Vienna Convention on Diplomatic Relations 1961, Article 16 Usually the Dean of the Diplomatic Corps is the longest serving ambassador in a country.The book's original title was ''The Federalist: A Collection of Essays Written in Favour of the New Constitution, As Agreed Upon By the Federal Convention, September 17, 1787.Several hundred Paxtonians marched on Philadelphia in January 1764, where the presence of British troops and Philadelphia militia prevented them from committing more violence.Mehmet Yaşar Büyükanıt (1 September 1940 – 21 November 2019) was a Turkish military official.It also won the Lewis Carroll Shelf Award in 1964.This policy was a success and Adams and McGuinness, and others were elected to the House of Commons, but never attend.In 1832, Bulgakov stopped his diplomatic career and was appointed to Director of Posts in Moscow.	1
A survey done by Wikimedia showed that more people prefer the Vector skin.He won a first prize (premier prix) in 1896.Pichu has appeared as an unlockable character in Super Smash Bros. Melee where it has a cloned moveset to Pikachu's but takes damage when it uses electric attacks.Left orbicularis oculi, seen from behind.In the 1950's, he starred in some interesting western movie as The San Francisco Story (1952), Border River (1954), and the Classic Wichita (1955), by Jacques Tourneur, The Gunfight at Dodge City (1959), as Bat Masterson.This period started in November 1302 and ended in August 1303.Many insects lived around the swampy land.	1
