text	label
a = a[-1:] + a[:-1]datetimevariable.strftime('%Y-%m-%d')mixed.replace('\r\n', '\n').replace('\r', '\n')os.path.expanduser('~user')T = [L[i] for i in Idx]words = open('myfile').read().split()[[sum([x[1] for x in i])] for i in data][sum([x[1] for x in i]) for i in data]Article.objects.annotate(like_count=Count('likes')).order_by('-like_count')today = datetime.datetime.utcnow().date()[(a * b) for a, b in zip(lista, listb)]re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)re.match('[:;][)(](?![)(])', str)json_string = json.dumps([ob.__dict__ for ob in list_name])listofzeros = [0] * n	4
"requests.get('https://www.reporo.com/', verify=False)a[a != 0]new_dict = {k: v for k, v in zip(keys, values)}dict((k, v) for k, v in zip(keys, values))dict([(k, v) for k, v in zip(keys, values)])m = re.search('\\[(\\w+)\\]', s)s.setsockopt(SOL_SOCKET, SO_REUSEADDR, 1)list3 = [(a + b) for a, b in zip(list1, list2)][ord(c) for c in s.decode('hex')]print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))[y for x in range(3) for y in [x, x]]txt = open('file.txt').read()myList[:] = [(x / myInt) for x in myList]""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})df.replace(' ', '_', regex=True)"	4
"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}][{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]list(itertools.product(*a))df.groupby(['Country', 'Item_Code'])[['Y1961', 'Y1962', 'Y1963']].sum()done = [(el, x) for el in [a, b, c, d]]x = x[numpy.logical_not(numpy.isnan(x))]os.path.join(*x.split(os.path.sep)[2:])line = line.replace(';', ':')subprocess.call('tar c my_dir | md5sum', shell=True)""""""437c2123"""""".decode('hex')[k for k, v in User._fields.items() if v.required]df = df.ix[:, 0:2]x = map(int, x.split())x = [int(i) for i in x.split()]driver.find_element_by_css_selector(""input[onclick*='1 Bedroom Deluxe']"")"	4
urllib.parse.quote(s.encode('utf-8'))urllib.parse.quote_plus('a b')np.array(map(int, '100110'))print(np.array(list(mystr), dtype=int))img = cv2.imread('messi5.jpg', 0)lst.sort(key=lambda x: x[2], reverse=True)indices = [i for i, x in enumerate(my_list) if x == 'whatever']subprocess.call('grep -r PASSED *.log | sort -u | wc -l', shell=True)len(my_text) - len(my_text.rstrip('?'))df[df.columns[1:]].replace('[\\$,]', '', regex=True).astype(float)df1.merge(df2, how='left', on='word')print(''.join(''.join(i) for i in zip(a2, a1)) + a[-1] if len(a) % 2 else '')root.attributes('-topmost', True)root.lift()hex(int(''.join([str(int(b)) for b in walls]), 2))	4
('c' in d)if ('key1' in dict):<nl><tab>passif (key in d):<nl><tab>passBlog.objects.filter(pk__in=[1, 4, 7])f = open('test/test.pdf', 'rb')format(12345678.46, ',').replace(',', ' ').replace('.', ',')pd.merge(frame_1, frame_2, left_on='county_ID', right_on='countyid')np.isnan(a).sum() / np.prod(a.shape)sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)sorted(list(u.items()), key=lambda v: v[1])sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)sorted(list(d.items()), key=lambda k_v: k_v[1])f = open(os.path.join(__location__, 'bundled-resource.jpg'))f = open('words.txt', 'rU'){k: (float(d2[k]) / d1[k]) for k in d2}	4
numpy.array([(x in a) for x in b])networkx.draw_networkx_labels(G, pos, labels)y = [row[:] for row in x]X = numpy.loadtxt('somefile.csv', delimiter=',')matching = [s for s in some_list if 'abc' in s]df.to_csv('mydf.tsv', sep='\t')random.sample(list(range(100)), 10)s.rsplit(',', 1)all(isinstance(x, int) for x in lst)all(isinstance(x, int) for x in lst)line.strip()driver.execute_script('window.scrollTo(0, Y)')driver.execute_script('window.scrollTo(0, document.body.scrollHeight);')datetime.datetime.combine(dateobject, datetime.time())print(any(x in a for x in b))	4
re.sub('(?m)^\\s+', '', 'a\n b\n c')a, b, c = [1, 2, 3][list(v) for k, v in itertools.groupby(mylist, key=lambda x: x[:5])]line = re.sub('\\(+as .*?\\) ', '', line)print(line.rstrip('\n'))df.index.values.tolist()if (not a):<nl><tab>passif (not seq):<nl><tab>passif (len(li) == 0):<nl><tab>pass[i for i, v in enumerate(a) if v > 4]sorted(yourdata, reverse=True)sorted(yourdata, key=lambda d: d.get('key', {}).get('subkey'), reverse=True)yourdata.sort(key=lambda e: e['key']['subkey'], reverse=True)df.round()gca().get_lines()[n].get_xydata()	4
yourdata.sort(key=lambda e: e['key']['subkey'], reverse=True)df.round()gca().get_lines()[n].get_xydata()A[:, -2:]request.GET.get('username', '')pprint(dict(list(o.items())))url('^$', include('sms.urls')),url('^', include('sms.urls')),max_item = max(a_list, key=operator.itemgetter(1))max(a_list, key=operator.itemgetter(1))s.resample('3M', how='sum')[a[i] for i in (1, 2, 5)][line for line in open('textfile') if 'apple' in line]datetime.datetime.strptime(s, '%Y-%m-%dT%H:%M:%SZ')pandas.read_csv(filename, sep='\t', lineterminator='\r')	4
"re.findall('[-+]?\\d*\\.\\d+|\\d+', 'Current Level: -13.2 db or 14.2 or 3')zip(it, it, it)df['x'].str.lower()jsobj['a']['b']['e'].append({'f': var6, 'g': var7, 'h': var8})"""""""""""".join(lst)sum(v for v in list(d.values()) if v > 0)app.run(debug=True)df.drop(df.index[[1, 3]], inplace=True)df.apply(lambda x: x.fillna(x.mean()), axis=0)[o.my_attr for o in my_list]time.strftime('%m/%d/%Y', time.gmtime(os.path.getmtime(file)))all(item in list(superset.items()) for item in list(subset.items()))[str(wi) for wi in wordids]df2 = df.reset_index()dt.strftime('%m/%d/%Y')"	4
[o.my_attr for o in my_list]time.strftime('%m/%d/%Y', time.gmtime(os.path.getmtime(file)))all(item in list(superset.items()) for item in list(subset.items()))[str(wi) for wi in wordids]df2 = df.reset_index()dt.strftime('%m/%d/%Y')print('Total cost is: ${:,.2f}'.format(TotalAmount))df.groupby(np.arange(len(df.columns)) // 2 + 1, axis=1).sum().add_prefix('s')randomList = [random.random() for _ in range(10)]print(soup.find('a', href=re.compile('.*follow\\?page.*')))sys.stdout.flush()country, capital = random.choice(list(d.items()))list('Word to Split')[w for w in open('file.txt') if not re.search('[aeiou]{2}', w)]pat = re.compile('^\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}$')	4
