,text,label
157,Häufig werden nicht-,6
65,Das war meine Rettung.,6
287,Soldaten des k. u. k.,6
225,Nicht umgekehrt.,6
124,Er starb bereits 1665.,6
201,Laufzeit 74 Minuten.,6
264,Sein Debüt gab er 1986.,6
199,“ kritisch gegenüber.,6
274,Sie heißen voynuk.,6
99,Drei verschiedene Fobs.,6
160,Heide) gibt es darin.,6
308,“ teilnehmen werde.,6
221,Musik zu produzieren.,6
156,Haare vorhanden.,6
176,Interesse zeigten.,6
6,Achim unter Vertrag.,6
241,Patienten behandelt.,6
5,Abteilung eröffnet.,6
40,"Bilder, Graphik, Texte.",6
219,Müllners neuer Partner.,6
211,Mengen eingesetzt wird.,6
232,Ohne Fleiß kein Preis.,6
2,Abenteuer der Musik.,6
105,Einen für jede Partei.,6
209,Mein Name ist Barbara.“,6
50,Das blieb bis 1974.,6
29,Ausführung beschlossen.,6
110,Energie pro Jahr.,6
77,Die DDR gewann 2:1.,6
179,“ ist ein Ehrentitel.,6
317,Typ 7 beteiligt.,6
327,Was er nicht ist.,6
0,“ 24 Jahre alt war.,6
87,Die Rote Nation (,6
214,Mit einem Nein.“,6
280,"""sie sind zuhause""",6
100,Du kannst es schaffen!“,6
222,Na Pho eröffnet.,6
149,“ für großes Orchester.,6
313,; traditionell als „,6
111,“ entwickelt hat.,6
146,Fragen zuständig.,6
270,Sie erschien 2007.,6
41,Bildung geprägt.,6
24,Auf der dritten LP New!,6
164,Humbug des Jahres).,6
262,Seid gut zu den Tieren!,6
75,Die beiden Werks-,6
43,Chöre fehlen völlig.,6
330,Was sich wie ein „,6
82,"Die Hütte ""live"".",6
268,Sie bestanden bis 1990.,6
45,Dann war er Soldat.,6
265,Sein Vater war Wagner (,6
292,Stand 12. Januar 2011.,6
316,TV starten wird.,6
73,Die Andern dabei.,6
340,Ziffern gefolgt wird.,6
184,Jedoch wurden durch (,6
56,Das Lied wird von Soul-,6
101,Durch einen Bug (,6
273,Sie hatten 6 Kinder.,6
51,Das Buch habe einen „,6
210,Menckes geöffnet vor.,6
337,Zeit ausbauen ließ.,6
80,Die Familie war reich.,6
310,Theater des Westens.,6
53,Das Gebäude steht als «,6
246,Pohl war Mitglied des „,6
28,Auf seinem Label (,6
245,Plath: Mohn im Oktober.,6
342,Zusammen mit der IV.,6
89,Die Schranke hebt sich.,6
171,Inge begleitet ihn.,6
240,Partnerschaft mit PAMP.,6
4,Aber meine Liebe nicht.,6
11,Am bekanntesten wurde „,6
60,Das schöne Heim.,6
92,Dies fülle sie aus.,6
208,Mehrere Städte –,6
62,Das Skrotum ist dunkel.,6
52,Das Fahrzeug No.,6
175,"Insel, Leipzig 1936, (",6
285,Sie zieht sich zurück.,6
148,“ ( ) führen kann.,6
216,Mittig war ein Brunnen.,6
76,Die Brust ist schwarz.,6
309,Tess ist eine Rapperin.,6
286,So gab es im Riau-,6
129,Er wohnt in Genf.,6
306,Teil 2: Der Süden.,6
39,“) bezeichnet wurde.,6
291,Stadt Deutschlands.,6
35,Band 1: Die Geschichte.,6
115,Er gehört zu Yannik.,6
197,Konto gebracht.,6
272,Sie hat genau Elemente.,6
314,Truppen zu leiden.,6
205,Mach's einfach selbst.,6
132,Es gab mehrere Tote.,6
14,Angaben gemacht.,6
86,Die Mutter ist tot.,6
231,Oft sind es zwei.,6
204,Lucius ist ein Horror-,6
332,Weiter Bäume folgen.,6
343,Zustand erreicht.,6
88,Die Schale ist hart.,6
125,Er war Mitglied der DP.,6
227,Niemand ist so wie sie.,6
142,Eva wird verletzt.,6
243,Pfalz bezeichnet wird.,6
249,Probleme und Methoden.,6
329,Was mich angeht“.,6
64,Das war eine Wonne!,6
281,Sie starb 2004.,6
325,Vorlieb nehmen musste.,6
153,Geschichten ist.,6
271,Sie führen u. a.,6
323,Vorbild ernannt.,6
322,Von Tibet nach Indien.,6
158,Hauptstadt errichtet.,6
46,Daraufhin geht Marie.,6
186,Jetzt oder nie!,6
302,Tabur ist ein Dorf (,6
70,Der Pilot starb dabei.,6
336,Wo ist der Heerkönig!,6
27,Auf einem langen Weg.,6
189,Ki Rott nach hinten.,6
217,Mit zwei Kunstbeilagen.,6
127,Er wirkte riesengroß.,6
257,Saalfelden Schule alt.,6
192,Koch: Spiele für Zwei.,6
54,Das gelang ihm auch.,6
220,München/ Leipzig 1918.,6
296,Status erhalten hat.,6
83,Die Iris ist ockergelb.,6
3,Aber es funktioniert“.,6
182,Jahrhundert gebaut.,6
10,Alte Fotos belegen das.,6
174,"Insel, Frankfurt 1989.",6
278,Sie läuft davon.,6
254,Reste sind erhalten.,6
116,Er hat drei Brüder.,6
335,Wie heißt das Schwert?“,6
58,Das Programm der „,6
20,Asyl in seinem Schloss.,6
195,König gelegt hatte.,6
345,Zwei Mal Jungfrau (,6
12,Am RHIC werden Gold-,6
48,Das Archiv 2018.,6
106,Eine solche Kiste …,6
42,China VI angepasst.,6
244,Pinter war verheiratet.,6
79,Die Familie derer „,6
36,Bauern gegründet wurde.,6
213,Mit der neuen „,6
180,Iulus genannt wird.,6
283,Sie wird von einem V8-,6
307,Teil der Insel.,6
293,Stand 17. Juni 2015.,6
297,Stellen hervor.,6
13,“ am Schloss gedreht.,6
130,Er wurde 1934 abgebaut.,6
90,Dieser geht darauf ein.,6
8,Alle Tiere haben Bärte.,6
284,Sie wurde zum „,6
328,Was ist ein Set?,6
107,Ein neuer Blick.,6
104,Eine deutsche Ikone.,6
126,Er war müde“ (S. 65).,6
66,Das Werden einer Stadt.,6
198,Krank sei Dank.,6
277,Sie kommt aus dem Haus.,6
185,Je nach Messer-,6
93,Dies war im Mai 1910.,6
91,Diese starb 1953.,6
117,"» erinnert, ein wenig «",6
236,Orte im Gau waren u. a.,6
68,Dem wurde entsprochen.,6
305,Technologie verstanden.,6
256,Richtung Westen führt.,6
252,Records verlegt wurde.,6
170,In Entwicklung 2014.,6
269,Sie erkennen einander.,6
168,Im Rahmen des GMK-,6
150,Für Kinder und Eltern.,6
200,Landkreis Cottbus.,6
338,Zeit datiert wird.,6
230,Nur Du kannst es.,6
178,In zahlreichen Medien (,6
321,“ verwendet wurden).,6
31,Ausstellung eröffnet.,6
223,"Neue Folge, Heft 62).",6
237,Oskar nennt sie Rosa.,6
