,text,label
4882,Many crows live in large groups.,1
1500,"Dunham with Walter, in a shot from a 2007 performance.",1
4963,"Mario hardly ever speaks properly in any games, leaving the talking to other characters.",1
444,Anarcho-capitalist believe hierarchy exists only when a person is given the authority to use force against a nonviolent person or that person's legitimate property.,1
5018,"Michelle P Brown; Carol A Farr (London: Continuum International Pub. Group, 2005), p. 3 This is in contrast to Wessex where women rarely had an active role in the government.",1
410,Amar Singh (27 January 1956 – 1 August 2020) was an Indian politician.,1
1717,"Few notable storms formed this season, however it was very eventful.",1
3546,"In just over a year, he expanded it from 70,000 to 170,000 members.",1
3686,"In the Americas (South and North), Canada, US, Brazil and Argentina are the largest countries (in that order).",1
1948,"Giacomin grew up in Gatchell, a small town near Sudbury.",1
830,"A virus will remain dormant until it is able to infect the next host, activate and replicate.",1
3297,In 1997 he received the Klaus-Gundelach-Prize for his merits concerning his environmental protection and his youth novel Fjellwanderung.,1
8310,The school has 350 students from a dozen countries.,1
4201,; it is the name of an electoral ward covering much of the area on the Lewisham side.,1
3834,"It also offers special features, for example a preview of the websites found during a search.",1
8196,There is no cure for herpes.,1
6872,The basic concept can be illustrated by thinking of your data set as a stack of plates or books where you can only take the top item off the stack in order to remove things from it.,1
2857,His dynasty didn't last a long time.,1
3786,Inuktitut is a very complex language.,1
1334,Corporations may also be formed for local government (,1
9396,This would be an extension to Noida.,1
546,"Anywhere you dig, the youngest materials are close to the surface at the top and the oldest materials are at the bottom.",1
1715,Feuerstein married Bridgette Doremus in 2018 and they expect their first child in August 2021.,1
550,"Apart from possible cyclones, summers are usually dry.",1
5132,Much preparation is needed before they can move forward.,1
3173,"In 1548, Jane was sent to Chelsea to be with Catherine Parr and Thomas Seymour.",1
1857,Franklin moved unevenly to the east while weakening as shear increased again.,1
2309,He is known for his association with the South African Arms Deal where the South African government lost $130 billion in controversial deals.,1
3470,In December 1965 RAP and BRP merged to form Entreprise de Recherches et d'Activités Pétrolières (ERAP).,1
5885,"Robinson, Rachel, p. 200. After his discharge, he struggled with drug problems.",1
9273,"This match was seen to many as the most important match of Hardy's career, as his win against Triple H has finally moved Hardy into the top level of the roster and the race for the WWE Championship.",1
482,A new character called Dick Datchery comes to Cloisterham.,1
6771,The album debuted at number one on many music charts around the world.,1
4063,It is directed by Keenan Ivory Wayans.,1
5862,Richard was set free.,1
9301,"This party, BJP further succeeded to acquire eight out of nine wards in the 2010 BBMP elections.",1
9406,Those under 18 are at highest risk for the problem.,1
8390,"The serial number was ""1"".",1
