,text,label
93,È madre di 3 figli.,8
218,Liverpool) a sud.,8
133,"""Ho pensato giallo.",8
40,Cinque uomini (,8
58,Dal libro fu tratta un',8
267,Non vedo niente!,8
155,Il suo nome richiama l',8
145,Il padre era orafo.,8
227,Meglio cambiare aria».,8
80,È di questi anni (,8
269,Nulla di più sbagliato.,8
314,Segue nel tempo l',8
187,L'accesso è libero.,8
205,La società per azioni (,8
13,Amore in alto mare.,8
238,"Myra, però, lo segue.",8
48,Come sottolinea l',8
354,Un disegno dell',8
167,Inizia lo scontro.,8
10,Al terzo posto dell',8
183,I primi dieci anni.,8
149,Il quadro storico.,8
89,È legato a loro.,8
151,Il servizio per l',8
301,"Quel giorno, Willy (",8
309,""" qui a fianco.",8
22,A parte alcuni titoli (,8
15,Anche il teatro (,8
278,Passano venti giorni.,8
144,"Il nome stesso di """,8
264,Non sempre andò così.,8
109,È un dramma d'amore».,8
233,Morì a Torino nel 2004.,8
26,Aveva contratto l’,8
290,Poi egli fu scarcerato.,8
137,Il becco è rosso.,8
240,Natale tutti i giorni!,8
5,Alcuni storici nell',8
282,Per molti anni dopo l',8
76,Durante gli anni dell',8
113,Firma poi per l',8
293,Poi si costituisce.,8
349,Una pompa da vuoto.,8
336,Stemma in uso dal 2017.,8
207,La sua divisa è dorata.,8
163,In città è attivo l',8
175,In rapporto all',8
99,Era molto riservato.,8
365,"Venne escluso il """,8
128,"Ha una sorella, Rui.",8
8,Alla morte di Bohier (,8
284,Per una nuova Europa.,8
206,"La S sta per ""silicio"".",8
204,La seconda generazione.,8
303,Quello sono io!,8
258,""", nonché dalla """,8
211,La vita e le opere.,8
358,Un grande villaggio.,8
95,Entrambi dopo l',8
30,Balian è membro dell',8
262,Non muovono un muscolo.,8
39,"Cinque mesi dopo, l'",8
310,Rimanere senza niente.,8
60,Denso ogni due anni.,8
116,"Già nel 2000, l'",8
159,Il volo alle stelle (,8
61,Dietmar morì poco dopo.,8
134,I.A.P. fa parte dell',8
52,"Con il titolo di """,8
73,Dove sono i Pirenei?,8
236,Morì il 2 gennaio 1730.,8
127,"Ha scritto per """,8
304,"Questa versione """,8
162,In attesa dell',8
29,Aveva quattro figli.,8
34,"Che notte, ragazzi!",8
272,Ogni gol vale 10 punti.,8
67,Di solito ha un',8
319,Si chiama Trump Towers.,8
246,Nel 1989 ha ricevuto l',8
0,Abitare il presente.,8
170,Inoltre si esclude l',8
339,"», Terra e Libertà.",8
252,Nel secolo successivo (,8
214,L'esame può essere un',8
165,In epoca severiana (,8
256,"Noi siamo il suono.""",8
196,Lagan è una cittadina (,8
259,Non ha nessun pudore.,8
350,Un arco nella chiesa.,8
84,"E il freddo porterà!""",8
195,La frontiera nel 565.,8
210,La vettura si ribalta.,8
364,Usa un deck Mano.,8
366,"Venne prodotto dalla """,8
32,BNT è membro dell',8
81,È famoso per l',8
274,Ora sono sciocchi.,8
363,"""Un Paese accessibile""",8
49,Compare solo nel DVD.,8
346,Uccidi per primo!,8
327,Si spense nel 1977.,8
202,La prima lettura (,8
53,"""Cosa ti piace fare?""",8
174,In questi anni anche l',8
121,Gli è intitolata l',8
62,Di lei si ricorda l',8
83,È il 29 dicembre 1170.,8
92,El Vizcaino è anche l',8
235,Morì il 21 luglio 2007.,8
182,… Io voglio la pace…».,8
199,La nervatura è unica.,8
126,Ha poi lasciato l',8
216,Le tecniche dell ',8
231,Modelli comuni come l',8
19,Ancora mancava la casa.,8
44,"Come in Svizzera.""",8
136,Il baray è oggi secco.,8
3,"Alcuni ""comuni""",8
254,Niente di personale.,8
212,Le altre otto squadre (,8
21,A nove anni entrò nell',8
316,Sei unità dell',8
28,Aveva due sorelle.,8
294,Possa Dio aiutare.,8
190,La DIA è membro dell',8
141,Il download è gratuito.,8
161,I morti sono 227.,8
43,Come ha ricordato l',8
281,""" per due turni.",8
18,Ancora alle porte dell',8
203,L'area è molto arida.,8
78,È conosciuto come ',8
191,""", la direzione cambia.",8
75,; due unità realizzate.,8
292,"Poi perde i colpi"".",8
42,"Citato nei libri dei """,8
296,Primo volo luglio 2016.,8
222,Luciano Sarti ai punti.,8
110,È un titolo ereditario.,8
193,La festa popolare.,8
351,Un comunicato dell',8
2,""" a inizio film.",8
90,""" e le scuole medie """,8
130,"Ha vinto due volte il """,8
185,Jim dopo la sua morte.,8
335,Sotto la tutela dell',8
257,Noi ti sosterremo!,8
249,Nella stagione 2007-,8
217,L'iride è rosso.,8
247,Nel 2005 firma per l',8
16,"Anche nel Nord, l'",8
108,«È un brutto giorno.,8
147,Il primo appuntamento.,8
51,Con il termine SHA (,8
41,Ci sono pro e contro.,8
96,Entrò a far parte dell',8
287,Più famoso fu l',8
50,"Comuni ""speciali""",8
12,Amore dopo amore.,8
188,La chiave è la botola.,8
200,La parità è conservata.,8
97,"Era dedicata a ""F.",8
189,La destinazione fu l',8
250,Nella Terra che.,8
338,Sul sito ufficiale.,8
153,Il sito è Ostia-antica.,8
357,Un G3M in manutenzione.,8
229,"""Mica male"", diceva.",8
306,"Questo è sufficiente.""",8
107,È una paziente di Bob.,8
24,Arma dal basso danno.,8
361,"Uno, due o tre generi?",8
17,Anche se Pharsman IV (,8
66,Direttore finanziario (,8
197,La luce delle cose”.,8
340,""" (titolo vinto) e """,8
184,Italia senza freni.,8
359,Un incontro difficile.,8
198,La minaccia è svanita.,8
135,"I genitori, filo-",8
317,Sembra volerlo aiutare.,8
305,Queste confinano con l',8
166,Infine fu eletto anti-,8
321,Si diplomò nel 1924.,8
131,Herisau è servito dall',8
54,Così inizia Vagabond.,8
56,; da esso ha origine l',8
168,Iniziata il 23 marzo.,8
362,Uno è quello dell',8
47,Come si legge nel «,8
4,Alcuni hanno lasciato.,8
215,"Le ""sette sale""",8
115,; fu vinta dall',8
125,Ha due file di banchi.,8
333,Sono molte le cause (,8
64,Di qui alla vetta.,8
324,"Simone è, secondo l'",8
341,Torna in Italia.,8
77,Economia e finanza.,8
45,"Come nel P4, l'",8
112,"F. Calcio Milan"" ad ""A.",8
328,Si spinge fino all',8
288,"Piuttosto che ""figli d'",8
201,"La più pesante fu la """,8
226,Ma tutto è inutile.,8
277,Passano sette mesi.,8
72,Doppiato da sé stesso.,8
88,"E io la sto sognando.""",8
353,Un dingo in riposo.,8
152,"”, il settimo dell'",8
251,""" nel marzo del '75.",8
318,Si addormenta sereno.,8
352,Undici storie di donne.,8
312,Sala delle feste.,8
248,Nel corso degli anni l',8
266,Non supera i 5 cm.,8
158,"Il suo timbro era ""E.",8
9,Alle volte anche l',8
331,Si svolge la votazione.,8
94,È molto potente.,8
273,"""Ogni quanto tempo?""",8
119,Giovedì 1º agosto 1996.,8
295,Prima di passare all’,8
367,"Zappa, uscito nel 1999.",8
35,"Chieti ""città aperta""",8
177,In seguito dell',8
219,"Lo porterò via con me"".",8
255,Noi siamo Flash!,8
345,Tutto annuncia già l',8
179,Intanto The Hood (,8
6,Al di là delle cose.,8
323,Si laureò nel 1832.,8
118,Giocò come ala destra.,8
143,"Il Lingard, nella sua """,8
172,In Per questa notte (,8
289,Poche settimane dopo l',8
132,Hitler era fuori di sé.,8
291,Poi esce dal locale.,8
57,""" dai suoi critici.",8
329,Si sposarono nel 1911.,8
124,Ha avuto tre edizioni.,8
325,"Si presenta come una """,8
38,Cinque i terzi posti.,8
63,Dio non può più.,8
360,Uno attivo (DMSP-14).,8
270,""" oggi sua rivale.",8
208,La sua edizione dell',8
298,"Quando, in seguito all'",8
111,; e verso il nord dell',8
120,Gli anni passano.,8
330,Si svolge dall',8
302,Quello che donna vuole.,8
154,"Il suo aspetto è da """,8
106,È stata approvata dall',8
59,» del calcio nazionale.,8
286,Piove per tre giorni.,8
276,"Ospitò, alla fine dell'",8
271,"Oggi, un tunnel dell'",8
313,Secondo il vangelo.,8
146,Il piano tedesco (,8
171,In particolare l',8
265,Non sono usucapibili.,8
334,Sorge su sette colli.,8
337,Stop poco rilevato.,8
7,Alla fine Rex si salva.,8
138,Il capoluogo è Debe.,8
71,"Dopo la firma del """,8
36,"Chi sono questi ""noi""?",8
261,Non lasciò figli.,8
268,Notate il doppio tetto.,8
