,text,label
156,"                AlloyPlugin.getDefault().logInfo(""Found default theme "" + themeFile);",4
91,                    out.close();,4
297,                                        this.constructors.add(construct);,4
314,"                if (LoggerUtil.getIsLoggingOn()) SDKLoggerHelper.logMessage(URLEncoder.encode(responseCode, ""UTF-8""), SDKLoggerHelper.RecordType.CreateMessageBuffer_RESPONSE);",4
85,                md5.update(password.getBytes());,4
141,                output.flush();,4
219,"                transformer.transform(new StreamSource(inStream), new StreamResult(System.out));",4
103,        ZipOutputStream out = new ZipOutputStream(new FileOutputStream(zipfile));,4
108,                    buf.putInt(count);,4
247,"            Log.error(""Exception attempting to save file "" + file + "": "" + t);",4
328,        } catch (NoSuchAlgorithmException e) {,4
23,                    connection.setDoInput(true);,4
262,"                if (sqlCommand.startsWith(""select"")) {",4
47,"            if (new File(files[i].getPath() + "".meta"").exists()) {",4
208,"            if (DebugFile.trace) DebugFile.writeln(""PathHTML = "" + sPathHTML);",4
175,"            IOUtils.copy(configStream, tempStream);",4
308,            URLConnection cxn = url.openConnection();,4
89,            String result = null;,4
112,                index.write(writer);,4
172,"                fos.write(temp, 0, readSize);",4
153,                _errorMsg = new String[3];,4
236,        DcmParser p = pfact.newDcmParser(in);,4
239,"            ValueHome valueHome = (ValueHome) PortableRemoteObject.narrow(homeRef, ValueHome.class);",4
41,"                String decodedUrl = URLDecoder.decode(urlStr, ""UTF-8"");",4
158,"        if (input.length() == 31) input = ""0"" + input;",4
64,            inputStream = new URL(url).openStream();,4
166,"            String encoded = new String(encoder.encode(new String(StaticObj.PROXY_USERNAME + "":"" + StaticObj.PROXY_PASSWORD).getBytes()));",4
121,                    if (!f.getParentFile().exists()) {,4
184,                    modelWriter.close();,4
25,"            throw new UtilException(""util.failed.to.parse.handlerchain.file"", clazz.getName(), chain.file());",4
177,        OutputStreamWriter out = null;,4
196,"            statement.setString(1, username);",4
213,                    URL curl = new URL(comicSite + (String) tmplist.get(i));,4
147,                    tokenizer.eolIsSignificant(true);,4
322,"                    calendario.set(Calendar.YEAR, vAno);",4
133,                                        },4
130,"                enemy_dist[i] = new Index_value(i, list.get(i).health);",4
93,            String result = null;,4
48,    public static ArrayList search(String query) throws Exception {,4
179,                long ctime = System.currentTimeMillis() / 1000;,4
285,                    srcFile.close();,4
317,        if ((destination.getParentFile() != null) && (!destination.getParentFile().exists())) {,4
187,"                    new File(this.spoolPath + ""/info/"" + filename + "".desc"").delete();",4
83,                resultSet.close();,4
157,        } catch (IOException exception) {,4
86,            fetchInfos.setResult(FETCHING_RESULT.IO_ERROR);,4
75,        StringWriter writer = new StringWriter();,4
293,            int b = array[j] & 0xFF;,4
74,                if (geoNamesServerFailover != null && averageConnectTime > 5000 && !currentlyActiveServer.equals(geoNamesServerFailover)) {,4
237,            cacheBuilder = root.getCacheBuilder();,4
326,        OutputStreamWriter wr = new OutputStreamWriter(conn.getOutputStream());,4
206,            ZipInputStream zipinputstream = null;,4
312,            stmtDestino = (OraclePreparedStatement) conDestino.prepareStatement(sql);,4
135,                    response.append(line);,4
19,        stmt = con.createStatement();,4
66,            } catch (IOException ex) {,4
2,        } catch (SocketTimeoutException exception) {,4
210,                    httpContent.append(tmpLine);,4
145,                cBuffer = new char[new Long(oFile.length()).intValue()];,4
289,            if (conn.getDate() == 0) {,4
161,            mDigest = MessageDigest.getInstance(algorithm);,4
240,"            throw new UtilException(""util.failed.to.find.handlerchain.file"", clazz.getName(), chain.file());",4
324,"        params.setParameter(""TextMessage"", message);",4
164,            e.printStackTrace();,4
279,"            if (url.getFile().endsWith("".gz"")) {",4
318,                if (this.delimiter.length() > 1) {,4
57,                                            } catch (Exception err) {,4
