,text,label
108,"""¡Ese es el espíritu!",7
310,Vista desde el oriente.,7
221,Pero ascendió todavía.,7
282,Tiene unos 60 vecinos.,7
9,"Alianza Editorial, 2002.",7
44,Crónica de un proceso.,7
66,El álbum es muy movido.,7
16,Aquí se llega a Proaza.,7
151,Informe de país.,7
29,Cabe citar dos ejemplos.,7
184,Mises en su biblioteca.,7
306,Vengo sin protección.,7
233,¿Por qué es asimétrico?,7
237,Producción verde.,7
183,Mi hija está lista.,7
202,"No necesito decir más"".",7
98,En su clase de 3er.,7
253,Se duda sobre su origen.,7
279,Tiene 319 años.,7
83,"El sitio web ""Kidsreads.",7
144,Hoy sólo queda una.,7
273,También al lector.,7
121,"Esto no lo dijo de """,7
301,Un mito llamado.,7
128,Filaret dijo que «,7
14,Anna no tuvo hijos.,7
2,A destacar su capilla.,7
36,¿Cómo puedo ganar?,7
226,"Pero yo no soy sutil"".",7
224,Pero realmente fue así?,7
275,También fue una «,7
1,Además una biblioteca.,7
133,Fue hijo de Dn.,7
115,Está ubicado en la Av.,7
242,¿Qué me pasa doctor?,7
97,En su anterior club (,7
240,¿Qué dirección es?',7
247,Rājmā con arroz.,7
308,Ver nota más abajo.,7
246,Radio del Pueblo.,7
217,París no es para usted.,7
215,” para esa hipótesis.,7
150,"Infantil, México, 2002.",7
28,"Bogotá, Colombia.",7
160,La obra fue impopular.,7
225,Pero todavía no sabemos.,7
205,No resulta elegido.,7
271,Su rostro es negruzco.,7
113,Es padre de dos hijos.,7
216,¿Para sólo un concierto?,7
91,En ambientes populares.,7
93,En él hay seis figuras.,7
180,Me movió el corazón.,7
59,; disputó diez partidos.,7
65,Editorial Militar.,7
312,Vivienda - Secretaría.,7
203,No pueden ser forzadas».,7
319,Yo acabo de regresar.,7
82,El sector servicios.,7
120,"Esto no es fútbol.""",7
34,CIO América Latina.,7
189,Nada tiene sentido.,7
193,No describe cirugía.,7
138,""" hacia abajo de """,7
169,Lo Errázuriz con Av.,7
38,Con este grupo lanzó «,7
238,Pues existe una cuarta.,7
33,Centro Social Mara.,7
90,En 1914 murió su padre.,7
204,"No puedo esperar!""",7
276,También fue «V.,7
137,Fue velado en Córdoba.,7
250,Revista Nacional.,7
283,Tiene un parque.,7
119,Esto duro muchos años.,7
249,Revista Integral.,7
295,Una Revisión Muy Buena.,7
130,Formación artística.,7
103,Entre los mejores «,7
61,¿Dónde se han escuchado?,7
289,Todos ellos son magares.,7
107,"Esa noche, la criatura (",7
43,Corley parte de nuevo.,7
208,"""Nuestro abuelo fuego"".",7
73,Él murió en 1947.,7
40,Contó con 16 equipos.,7
294,Una mirada esencial.,7
300,Un Juez de Paz.,7
296,Un buen ejemplo es la '',7
303,Un público atento.,7
110,Es noche de luna llena.,7
177,Mediante Resolución Num.,7
4,Akurai lo había dejado.,7
46,Cuenta con 9294 hab.,7
94,En estudio de radio.,7
148,Inclinándose a tus pies.,7
47,Cuenta con una app.,7
24,Avenida principal.,7
147,Iba en el segundo auto.,7
174,M57 modelo básico.,7
78,El pasado indígena.,7
161,La piel es suelta.,7
149,Indica un objetivo.,7
264,Stop bien definido.,7
145,Huye entonces del lugar.,7
49,Curso de Jefe de Salto.,7
281,Tiene una sola puerta.,7
102,Entrada al teatro.,7
25,Bajo Cauca antioqueño.,7
23,"A veces es llamada """,7
172,Luego se deja enfriar.,7
277,Tenemos la final.,7
135,Fue su primer gran amor.,7
198,No llegó a debutar.,7
17,"""Aquí se reparan vidas.",7
324,"Yo soy Victoria.""",7
171,"""los once (hacen) uno"").",7
266,Su esposa es francesa.,7
211,Omemee es una de ellas.,7
106,Es amable y hermosa.,7
188,Mundo Editorial.,7
239,"», que decía la verdad.",7
227,"Pero yo soy cristiano "".",7
245,"Quiero vivir la vida"".",7
196,No hay retornos.,7
185,Modelo del mes.,7
181,Me tomó tres meses.,7
153,Jarro con gasolina.,7
0,"Además, la canción «",7
6,"Algo brusca, por cierto.",7
57,"Dice mucho sobre él.""",7
165,La Unión en el recuerdo.,7
11,Allí comenzó su fama.,7
292,Tulio sería su director.,7
136,Fue un modelo a imitar.,7
212,Otras canciones son «,7
105,"», entre otros muchos.",7
141,Hernández con su esposa.,7
139,Hasta el presente (,7
320,Yo era un degenerado.,7
48,Cumpliremos su voluntad.,7
37,Como varios personajes.,7
30,Carretera J con Av 31.,7
101,Entrada al fuerte.,7
287,Todo está en juego.,7
307,Ver el proyecto FICON.,7
53,"Después de realizar """,7
3,"¡Ahora es mi turno!""",7
214,""" para apoyar a Quinn.",7
26,Ben dice que no puede.,7
54,"», de su tercer álbum.",7
259,¡Si oviesse buen señor!,7
175,Marcar la piel del agua.,7
234,Porque es una mujer.,7
123,Es un hombre práctico.,7
56,Díaz Vélez y Gallo.,7
182,Mide 17 cm de largo.,7
63,Ecuador en corto.,7
316,Y así ocurrió (.,7
13,Al siguiente año (,7
42,Con un seguro externo.,7
71,El hijo perdido.,7
269,Su mejor resultado allí.,7
27,Biografías para niños.,7
209,Ojo muy pequeño.,7
154,Jugó ahí hasta el 2004.,7
62,Dos años en el grupo.,7
309,Víctor Palomo Juez (,7
190,"""Nadie Como Yo""",7
18,Así comenzó la llamada “,7
222,Pero este nuevo «,7
114,"Esta canción, junto a «",7
39,Continuó su camino.,7
290,Tom está de acuerdo.,7
159,La mejor respuesta.,7
64,Editorial Horas y horas.,7
187,Muestra de videos.,7
55,Detalle de medio cuerpo.,7
22,Auxiliar del docente.,7
270,Supóngase que es fijo.,7
142,"""He tenido un sueño"" (",7
285,Tipo 38 y Tipo 99.,7
70,Él es un alf (elfo).,7
201,No me gusta Mitchell».,7
244,"¡Que si no, me lo zampo!",7
241,¡Qué hermosa es!,7
7,"Algunos peces como el """,7
213,Pac-Man llora su muerte.,7
288,Todos corrían peligro.,7
262,Sobrevivió por poco.,7
72,El mensaje es oportuno.,7
314,Ya no sabe qué hacer.,7
166,Le gusta la lucha libre.,7
176,María con el niño.,7
252,"RISC/os, entre otros.",7
125,Excelente estado físico.,7
80,"El que no hace, no sabe.",7
265,Su año fue 1768.,7
81,El rincón de la mujer.,7
298,Un estudio de caso.,7
322,"Yo 'rompo' personas.""",7
315,Ya no se fabrica.,7
100,Entrada a la estación.,7
318,""" y luego para """,7
96,En muchos pueblos el.,7
124,Evaluación y mejora.,7
173,Luego termina vendiendo.,7
21,"Autor anónimo, año 1723.",7
88,Emilia se negó.,7
67,» el año anterior.,7
77,El partido terminó 7-0.,7
284,Tiene un ritmo electro.,7
274,También es gruñón.,7
